a-bê-cê	abecedário
préstimo	proveito
próspero	venturoso
pua	torno
pubente	pubescente
publicar	solhar
pudente	recatado
pudico	recatado
pugnador	pugnaz
pujante	vigoroso
pujança	robustidão
pulgoso	pulguento
pulha	reles
pundonoroso	reto
punição	vara
puníceo	rubicundo
purga	purgante
purgar-se	reabilitar-se
purificar	virginizar
purpurejante	vermelho
purpurejar	vermelhejar
putirão	putirum
putrefato	putrefeito
putrefeito	pútrido
puxar	tender
puxão	puxavante
pávido	tímido
pândega	troça
pé-de-meia	reservas
pélago	precipício
pérfido	traiçoeiro
pérvio	transitável
pêlo	penugem
pícaro	solerte
pífio	torpe
pôr	submeter
quadrante	setor
quadrigêmeo	quádruplo
quadripartido	quadripartito
quadrissílabo	tetrassílabo
qualidade	superioridade
quebra	quebrantamento
quebra-luz	refletidor
quebrado	violentado
quebramento	violação
quebrar	saracotear
queda	tombo
queimar	requeimar
queixa	ressentimento
querela	quizília
querelador	quereloso
querenar	recuperar
querença	querência
querençoso	simpático
querer	vontade
quietar	serenar
quieteza	tranqüilidade
quietismo	requietude
quietitude	repouso
quietude	suavidade
quilatar	tomar
quimbembes	xurumbambos
quimera	vagueação
quindim	tagaté
quinta	rancho
quitador	quitante
quitar-se	separar-se
quitute	tagaté
quizila	rota
quéchua	quíchua
rabear	vanguejar
rabeira	viso
rabo	rasto
rachadura	trinca
rachar	tundar
raciocínio	razão
racioneiro	raçoeiro
radiar	raiar
radical	radicalista
radicela	raigota
radiemissor	radiotransmissor
radioso	rebrilhante
radiógrafo	radiologista
rafaelista	rafaelita
raia	risca
raivento	zangadiço
ralhação	ralho
ralo	ronqueira
rama	ramalheira
ramelento	remelento
rameloso	remelão
ramerrame	rotineira
ranchinho	rancho
ranger	rechinar
ranço	ressaibo
rapace	rapinante
rapar	unhar
rapidez	velocidade
rapinador	rapinante
rapinhar	tirar
raposeira	soneca
raposia	viveza
rasa	rasoira
rasar	rasoirar
rasar-se	tomar-se
rascar	unhar
rasgar	transpor
raspado	sumido
raspe	repreensão
rasto	rieira
rateio	repartição
razoar	sustentar
reabastecimento	refornecimento
reabilitar	redimir
reabilitar-se	remir-se
reacender	reanimar
readquirir	resgatar
reafirmação	sustentação
realizar-se	sair
reanimar	renovar
reaprendizado	reaprendizagem
reatiçar	reespertar
reaver	recobrar
rebaixar	setear
rebate	sentimento
rebater	sacudir
rebelado	revoltado
rebelde	revoltoso
rebenque	vergasta
rebentar	vir
rebentação	romper
reboante	retumbante
rebocadura	reboque
reboco	revestimento
rebolir-se	sacudir-se
rebordosa	récipe
rebotar	rechaçar
rebramar	ressoar
rebrilhante	resplandente
rebrilhar	resplender
rebrilhoso	resplandente
rebusca	rebusco
rebuçar	velar
rebuço	refolhamento
recacau	regalório
recaimento	reincidência
recalcitrar	repostar
recalcitração	tineta
recalcitrância	reincidência
recamar	vestir
recatado	refletivo
recato	retraimento
receita	rendimento
receptáculo	vasilha
recesso	retiro
recidivo	reincidente
reciprocar-se	revezar-se
reclamar	vindicar
recobramento	recobro
recobrir	resguardar
recocto	recozido
recolher	respigar
recolocar	repor
recomeçar	voltar
recompensar	remir
recompor	regenerar
reconcentração	união
reconciliar	recongraçar
recondicionar	reparar
reconfortar	reconstituir
recongraçar	temperar
reconhecer	retribuir
reconstituir	reparar
reconstruído	reedificado
reconvir	retomar
recopilar	resumir
recordação	reminiscência
recortado	rendilhado
recrescer	restar
recriminar	repreender
recua	recuamento
recuamento	recuo
recuar	refugir
recuperar	renovar
recuperar-se	reparar-se
recuperativo	recuperatório
recuperação	restauração
recurso	socorro
recém-nado	recém-nascido
redargüir	retorquir
redepositar	repor
redimir	reembolsar
redistribuir	remanejar
redivivo	ressurrecto
redomoinho	remoinho
redondamente	redondo
redondeza	rotundidade
redundar	sair
redutivo	redutor
redutível	reduzível
reduzir	sujeitar
reduzir-se	sujeitar-se
reedificar	reerigir
reeditar	reestampar
reencetar	retravar
refazer	remir
refece	soez
refestelado	repimpado
refinadura	refinamento
refletido	sisudo
refletir	revelar
reflexivo	sensato
reflorescer	renascer
reflorir	renascer
refocilar	restabelecer
refocilar-se	vadiar
refolhamento	rufo
reformar	restabelecer
reforço	revestimento
refrativo	refringente
refreado	retido
refreamento	repressão
refrear	represar
refrear-se	vencer-se
refrescamento	suprimento
refresco	refrigerante
refreável	sofreável
refrigerante	refrigério
refrulho	rumorejo
refulgência	rutilância
refundir	retificar
refundir-se	reunir-se
rega	regadura
regalia	vantagem
regalo	regozijo
regatear	vilificar
regateiro	vanglorioso
reger	regular
registar	titular
regorjear	trinar
regougar	rosnar
regozijar-se	ufanar-se
regresso	retorno
regueira	riacho
regueiro	veio
reguingueiro	rezingueiro
regularidade	uniformidade
reinação	safadice
reinterrogar	reperguntar
rejeitado	repelido
rejeitar	revessar
rejuvenescer	renascer
relacionar	unir
relampear	relampejar
relar	roçar
relembrar	revivescer
reles	sórdido
relevar-se	sobrelevar-se
religião	valores
relinchar	trinir
relumar	tremer
relumear	tremular
remador	rêmige
remanso	sossego
remar	sobrenadar
rematado	ultimado
remediar	sanar
remelexo	requebro
rememorar	ver
remenicar	ripostar
remeter	saltear
remeter-se	reportar-se
remexer	remover
reminiscência	retentiva
remir	restituir
remição	salvação
remodelagem	remodelamento
remoela	trote
remontar	restabelecer
remordaz	remordente
remover	transferir
remoçante	remoçativo
remunerativo	remuneratório
renascer	renovar-se
renitência	tineta
renovar	reverdecer
renovar-se	revigorar-se
renunciar	resignar
repanhar	tomar
reparar	sanar
repartição	seção
repelir	vastar
repenicar	tanger
repercutir	ressoar
repetir	voltar
repetição	retumbo
replicar	retorqüir
repoiso	sossego
reportar	reprimir
reportar-se	temperar-se
repousado	sopitado
repousar	vacar
repreender	trautear
repressor	repressório
represália	vindita
repruir	velicar
reprurir-se	revoltar-se
reptador	reptante
repugnar	resistir
repulsar	reverberar
requestar	solicitar
reservatório	tanque
resguardar-se	tapar-se
residir	ser
resilir	zarpar
resistência	subsistência
resmungão	rezingão
resmuninhar	rezingar
resolubilidade	solubilidade
resoluto	valente
resolver	servir
respeito	vênia
respeitoso	reverente
respingo	salpico
respiradoiro	suspiro
resplandecente	resplendoroso
resplendecer	ressaltar
responder	revidar
responsabilidade	segureza
ressabiado	ressentido
ressaibo	testemunho
ressaio	rossio
ressair	ressaltar
ressalto	salpicamento
ressarcir-se	restituir-se
ressaído	ressaltado
ressecar	ressequir
ressentimento	tristeza
ressequido	torrado
ressicar	secar
ressoar	rimbombar
ressonadela	ronca
ressonar	retroar
ressudar	ressumar
ressurgir	tornar
ressurrecto	ressurreto
ressurtir	sair
restabelecimento	restauro
restante	sobejo
resto	sobra
restos	sarandalhos
restrugir	zonzear
resumidamente	sumamente
resvaladiço	resvaladouro
retaguarda	traseira
retalhação	sulcagem
retardador	retardante
retardação	retarde
retentivo	retentor
retenção	tardada
reter-se	ter-se
retinir	zinir
retirada	saída
retirado	solitário
retirar-se	vazar
retoiçar	travessear
retoque	revisão
retorno	volta
retorqüir	volver
retransir	transpassar
retrasar	retrogradar
retratar	transverberar-se
retratação	retrato
retroar	tempestuar
retrogradar	retrosseguir
retrosseguir	retrotrair
retrátil	retrativo
retumbar	toar
reunir	tomar
revel	teimoso
revelar	vender
revelar-se	testemunhar-se
revendão	revendedor
rever	transverberar
rever-se	ver-se
reverdecer	verdecer
reverter	tornar
revestir	vestir
revir	vogar
revitalizar	roborar
revivificar	vivificar
revoltar-se	sublevar-se
revoltear	revolver
revolver	voltar
rezador	saludador
rezingar	testilhar
riamba	tabanagira
ricochete	zombaria
rigidez	severidade
rimar	versar
rimbombância	trovão
rinha	rixa
ripa	sarrafo
ripada	zargunchada
rir	vasconcear
risada	riso
risca	traço
risota	zombaria
ritmo	som
roaz	roedor
robissão	sutambaque
roborizar	vitalizar
robustamente	vigorosamente
robustecer	tonificar
robustecimento	tonificação
robusteza	saúde
roceiro	tabaréu
rocioso	rórido
rodamoinho	tragadoiro
rodeio	rotação
rodilhar	tapear
rodoiça	rodouça
rodomoinho	voragem
rodopiar	volutear
roer	sugilar
rogativa	súplica
rojar	sacudir
rolar-se	sacolejar
roldão	sarrabulhada
rolo	vagalhão
romanticismo	romantismo
rombo	rompimento
rompedura	rotura
romper	rotura
rompimento	suspensão
ronca	roncaria
roncar	rugir
rondão	trapalhada
rosa	róseo
roscado	rosqueado
rosear	tauxiar
rota	tenção
rotina	vezo
roubar	sonegar
roubo	trapaça
roçar	tangenciar
roço	soberba
rubescer	ruborizar
rubor	vermelhão
rudez	xucrice
rugir	urrar
ruidar	rumorar
ruim	sinistro
rumor	runrum
rumorar	surdinar
rumorejar	surdinar
runrum	zunzum
rusgar	testilhar
rábido	zangado
râncio	ranço
récipe	ripada
rígido	sólido
sabido	tacanho
saboneira	saboneteiro
sabrecar	torrefazer
sabugo	tamboera
sabujo	samexuga
saca	sacola
sacada	sacadela
sacerdote	tonsurado
sacolejo	solavanco
sacramentar	ungir
sacudida	tremor
sadio	salutar
safadeza	safadice
safar	sobnegar
sagrado	venerando
saibrar	surribar
sair	suceder
salada	trapalhice
saliente	saltado
salpicado	sarapintado
saltar	transpor
saltarilhar	saltarinhar
saltarinhar	saltitar
saltear	unhar
salubre	saudável
salva	subterfúgio
salvar	saudar
sambador	sambeiro
samexuga	samexunga
samexunga	sendeiro
sanado	sarado
sandeu	tolaz
sandio	tolo
sangrador	sumidouro
sangue	vida
sanguinoso	subumano
sanja	valeta
santeiro	santério
sapateado	sapateio
sapeca	trêfego
saquear	tomar
saracoteamento	saracoteio
sarcástico	trocista
sarjação	sarjadura
sarjão	sarjel
sarrapilheira	serrapilheira
sarro	sedimento
sarçal	silvado
saçaricar	sururucar
saída	venda
sebe	tapume
secador	tedioso
seccionado	tronco
sectário	seguidor
sedar	sossegar
seguimento	subseqüência
seguir-se	superpor-se
segurado	seguro
segurar-se	suportar-se
seio	ventre
selar	terminar
selvagem	silvícola
selvagino	silvático
sem-vergonhismo	vileza
semi-aberto	semicerrado
semibárbaro	semi-selvagem
semicerrado	soaberto
semideiro	vereda
semimorto	semivivo
semáforo	sinal
senadoria	senatoria
sendeiro	sevandija
senhorinha	senhorita
sensibilidade	subtileza
senso	sentido
sentir	travessar
sentir-se	tornar-se
septenário	setenário
septissecular	setissecular
septuagenário	setuagenário
septênio	setênio
sequioso	sôfrego
seqüência	transcorrência
ser	suscitar
serelepe	turbulento
sereno	sossegado
serial	serirário
seroso	soroso
serpentante	serpenteante
serração	serragem
serrátil	serreado
servil	subserviente
servir-se	usar
serviço	trabalho
sessar	sururucar
sestra	sinistra
sestro	sorte
setear	supliciar
seviciar	torturar
sevícia	subumanidade
seção	subdivisão
sibilar	tinir
sibilo	silvo
silencioso	taciturno
silvar	sobiar
simiano	simiesco
simiesco	símio
simpatia	sufrágio
simplesmente	unicamente
simplez	simpleza
sinal	traço
singelo	virginal
singrar	traspassar
sinistramente	tragicamente
sinopse	súmula
sirtes	transe
soalhar	veicular
sobejos	varredura
sobnegar	tomar
sobrar	sobreabundar
sobre-restar	sobreviver
sobreabundar	superabundar
sobreagudo	superagudo
sobrechegar	suceder
sobredivino	supradivino
sobredourar	sublimar
sobreeminência	supereminênica
sobreexceder	transcender
sobreexcedido	ultrapassado
sobrelevar	suplantar
sobrelevar-se	sobrepujar
sobrepor	superpor
sobreposição	superposição
sobressaltar	transpor
sobrestima	superestimação
sobrevir	suscitar-se
sobrevivente	supervivente
sobrevivo	supérstite
sobriedade	temperança
sobrolhos	supercílio
socalcar	suplantar
soez	vil
sofisma	torcimento
sofreado	sufocado
sofrimento	suplício
solução	terminação
solércia	sutilidade
som	toada
sombreado	sombroso
sombrejar	turbar
somenos	vilão
somítico	sovina
sonetar	sonetear
sonífero	soporífero
sopitado	sopito
sopitar-se	soporizar-se
soporizar-se	subjugar-se
sordidez	torpitude
sordície	sordidez
sorna	zopo
soronga	tolo
sorrabar	titilar
sorrelfa	sovina
sorrir	troçar
sorver	varrer
sotaquear	troçar
sovinice	tacanhice
subdiretor	vice-diretor
subir	valorar
subjugar	trancafiar
sublimidade	superioridade
submeter	ter
submisso	súdito
subordinar-se	torcer-se
subornado	vendido
subsecutivo	sucessivo
subsistir	vigorar
substanciar	tratar
subtilidade	talento
sucedimento	sucesso
suelto	vária
sufocar	tocar
sugerir	suscitar
sugestionador	sugestionante
sugestionável	sugestível
sujeira	tratada
sujeitar	vincular
sujeição	timidez
sulcar	transpor
sumamente	sumariamente
sumarento	sumoso
superar	trasmontar
superestrutura	superstrutura
suplemento	suprimento
supletivo	supletório
suportar	tomar
suprimir	viciar
surf	surfe
surgidoiro	surgidouro
suro	torado
surpreendido	surpreso
surpresar	vislumbrar
surrar	zurzir
surripiar	surrupiar
suspeitar	ver
suspeição	suspeita
suspensão	transporte
sussurrar	zinir
sustento	vivenda
suster	ter
síntese	união
sórdido	vil
tabefe	trolha
tabela	tabilha
tabernal	tavernário
tabernáculo	tenda
talante	vontade
tampa	tapador
tapadura	vedação
tapeador	tunador
tapeação	velhacaria
tapeçar	tapizar
tapeçaria	tapete
tapigo	tapume
tardo	vagaroso
tarelo	vozeiro
tartamelar	tremelear
tascar	trincar
tasco	venda
teada	textura
tecido	teia
teima	teimosia
tela	trama
teleconduzido	teledirigido
televisão	tevê
tema	terreno
temerário	venturoso
temido	valoroso
temperar	toar
tempestear	toar
tempestuar	torrar
tempestuoso	tormentoso
tenebrosidade	véu
tenebroso	tremendo
tenso	teso
tentador	tentante
tentame	tentativa
tento	tino
tenção	vista
teor	tom
tepor	tibiez
ter	torcer
terminologia	vocabulário
termo	túmulo
terrorar	terrorizar
tesauro	thesaurus
tesoiro	tesouro
tessitura	traça
teste	verificação
testeira	vanguarda
textura	trama
tijucal	tujuco
tijuco	tujucal
tinir	tremer
tiradura	tiramento
tirânico	tirano
titilar	xeretear
titubação	titubeação
titubear	trepidar
toada	tono
toar	tocar
toireiro	tourista
toirista	toureador
tomadiço	zangadiço
tonante	tonitruante
tonitruante	tonítruo
tontear	transtornar
topada	trombada
torcedura	torcilhão
torcilhão	torço
tornar-se	transformar-se
tornejar-se	vergar-se
torpe	vilão
torpeza	volutabro
torração	torragem
torvelino	turbilhão
tosar	trosquiar
tosquiar	trosquiar
traduzir	transladar
tradução	transladação
tragadouro	voragem
trajado	vestido
tramar	urdir
tramolhada	tujuco
tramontar-se	transmontar-se
trampolina	trampolinagem
trampolinagem	vigarice
tranca	tranqueta
trancar	vencer
transbordamento	vertedura
transbordante	trasbordante
transerrano	trasmontano
transferir	transpassar
transferir-se	transladar-se
transferência	transladação
transfigurar	transubstanciar
transformar-se	transmudar-se
transgredido	violado
transgredir	travessar
transiente	transitivo
transir	trespassar
transluzir	transparecer
transmissivo	transmissor
transmitir	transmitir-se
transmontano	ultramontano
transubstanciar	transvestir
transverter	trasladar
trança	urdidura
trapaceador	trapacento
trapaceiro	tuno
trapalhada	trapalhão
trapeziforme	trapezoidal
traquejar	trenar
traquina	ziguezigue
traquinagem	travessura
traquinice	travessura
traspasso	vagareza
tratamento	trato
tratantada	tratantice
